name,amenity,longitude,latitude
,,17.9954568,53.1190905
Bydgoska Szkoła Wyższa,school,17.99116,53.1327034
,,18.0228105,53.1426274
,,18.1214658,53.1271024
Kujawsko-Pomorskie Centrum Edukacji Ekologicznej,school,18.0197619,53.1672702
Zespół Szkół nr 5 Mistrzostwa Sportowego,school,18.131683,53.1504635
,,17.9155514,53.1607203
,,18.1576427,53.1672109
,,18.0219953,53.1418363
Szkoła Języków Obcych English School,school,18.0019407,53.1243237
,,18.0234827,53.1233885
,,18.0446227,53.1314789
,,18.0334717,53.1336683
,,18.0507613,53.1159527
,,18.120663,53.1279657
,,18.00593,53.130535
,,18.0577225,53.1071994
,,17.9733148,53.1203364
,,17.9735113,53.1199585
,,17.9734265,53.1201844
,,18.0232701,53.1424558
,,18.0240304,53.1418478
,,18.0222526,53.1417428
,,18.1060226,53.1017719
,,18.1059148,53.1015147
,,18.1734063,53.1507177
,,18.1520443,53.1534941
,,18.1530254,53.1534977
,,18.1524542,53.1550332
,,18.1524966,53.1549769
,,18.1515427,53.155565
,,18.1533616,53.1545299
,,18.1533542,53.1546116
,,18.1533681,53.1544484
,,18.1533735,53.1538893
TEB Edukacja,school,17.9946015,53.131967
,,18.0265498,53.1234044
,,18.0573878,53.1073274
,,17.9417031,53.1309455
,,17.9405249,53.1308822
,,18.0566687,53.1098473
,,18.0567025,53.1098134
,,18.0227187,53.1269076
,,18.0223257,53.1269383
,,18.0065597,53.1248767
,,18.0301472,53.1367577
,,17.9876224,53.1111877
,,18.1762954,53.1623817
,,18.1757719,53.1623823
,,18.1750329,53.1618229
,,18.1750303,53.1616086
,,18.1750275,53.1613716
,,18.1754204,53.1623826
,,18.1777761,53.1623833
,,18.1750237,53.161055
,,18.0542347,53.122417
,,18.0540526,53.121933
,,18.0075673,53.1273478
,,18.0243739,53.140726
,,18.0490716,53.1050222
,,18.0337912,53.1336283
,,18.0120027,53.128305
,,18.1308845,53.1503686
,,18.1310166,53.1504184
,,18.1317006,53.1504474
,,18.1563675,53.1655607
feliks - make-up color&style academy,school,18.0095689,53.1260722
,,18.0116372,53.1279767
,,18.1326181,53.1509852
,,18.1562691,53.1671067
,,17.9749827,53.128222
,,17.9766323,53.1289755
,,18.0089333,53.1293548
,,18.0484038,53.1098068
XXII Liceum Ogólnokształcące przy BZDZ w Bydgoszczy,school,18.064121,53.1210024
Technikum Kolejowe,school,17.9919163,53.1327038
,,17.9602236,53.1868892
