name,shop,amenity,longitude,latitude
POLOmarket,supermarket,,18.4607491,54.5404174
Delikatesy Centrum,supermarket,,18.4613122,54.5421716
Bankomat Millennium,,atm,18.552101,54.4760182
Żabka,convenience,,18.5417644,54.4989996
Odido,convenience,,18.5396073,54.4838483
Carrefour Express,convenience,,18.5371487,54.4843027
Kaufland,supermarket,,18.5130101,54.5486645
Biedronka,supermarket,,18.5326008,54.5482148
Delikatesy Justynka,convenience,,18.528347,54.5533811
Żabka,convenience,,18.4862101,54.4690862
Delikatesy ABC,supermarket,,18.5362206,54.5500947
u Beci,convenience,,18.5405439,54.5521409
Żabka,convenience,,18.5482553,54.548977
Żabka,convenience,,18.5238956,54.5495095
Sklep spożywczo-monopolowy Limonka,convenience,,18.5197599,54.5508161
,convenience,,18.5139697,54.5495115
Biedronka,supermarket,,18.5084583,54.5518475
Żabka,convenience,,18.5375909,54.5104573
Kami,supermarket,,18.5155989,54.4994945
VIP,convenience,,18.5417046,54.5034439
Sklep spożywczy Smyk,convenience,,18.5575515,54.4761003
Żabka,convenience,,18.5338559,54.512527
,convenience,,18.5286383,54.5187794
Tower,convenience,,18.5317153,54.513116
Żabka,convenience,,18.5316549,54.5132959
,convenience,,18.5361563,54.5020379
Żabka,convenience,,18.5064625,54.4687603
Odido,convenience,,18.5039184,54.4690561
Groszek,convenience,,18.4923431,54.5880165
,convenience,,18.5130218,54.4916155
Żabka,convenience,,18.5087629,54.4957355
Biedronka,supermarket,,18.5230804,54.5547444
Market Kami,convenience,,18.4844945,54.5617731
U Franka,convenience,,18.4821845,54.5314019
Żabka,convenience,,18.485168,54.5341948
Bank PeKaO SA,,atm,18.551388,54.4754906
Euronet,,atm,18.5523658,54.4748385
Millennium Bank,,atm,18.5515735,54.4749349
,,,18.5532305,54.4736566
,,,18.5527256,54.4736649
,,,18.5524813,54.4748267
,,,18.5520093,54.476049
Promocja,convenience,,18.5275787,54.4862571
,convenience,,18.5560842,54.4612134
Żabka,convenience,,18.4924377,54.5620784
Żabka,convenience,,18.4705799,54.5385746
Minuta 8,convenience,,18.5487798,54.4785611
,,,18.5080891,54.4977277
,,parking_entrance,18.5082677,54.4969228
,,parking_entrance,18.5077647,54.4969667
Biedronka,supermarket,,18.552478,54.4570176
,convenience,,18.5311926,54.4817818
Biedronka,supermarket,,18.4687901,54.4692831
,convenience,,18.5333615,54.5524959
Misiek,convenience,,18.4195687,54.4939624
Żabka,convenience,,18.4277727,54.4866717
,convenience,,18.5389753,54.4788511
,,,18.4911344,54.4733446
Odido,convenience,,18.473416,54.5587729
,,,18.5331304,54.5054697
,,,18.5333293,54.506051
,,,18.5334727,54.5065547
Sieć 34,convenience,,18.5380797,54.5814474
"Delikatesy ""Pod Wieżą""",convenience,,18.4069794,54.5757507
Carrefour Express,convenience,,18.5372128,54.5069164
Delikatesy Justynka,supermarket,,18.5156535,54.5517526
Monopolowy,convenience,,18.5038846,54.5520148
"Sklep Spożywczy ""Gruszka""",convenience,,18.503462,54.5521305
,,,18.5396795,54.5186662
,,,18.5392232,54.5187966
Na Rogu,convenience,,18.5278577,54.5195413
Biedronka,supermarket,,18.4431086,54.5481305
Biedronka,supermarket,,18.5436966,54.5224728
Biedronka,supermarket,,18.54138,54.5181248
Delikatesy Adamski,convenience,,18.5402158,54.5162162
,,parking_entrance,18.5399425,54.5186353
,convenience,,18.4030003,54.5776825
Żabka,convenience,,18.5340579,54.521264
Żabka,convenience,,18.5508299,54.5062017
ABO,convenience,,18.4994342,54.5544046
,,,18.5039241,54.5642451
,convenience,,18.4928715,54.5289149
,convenience,,18.4931519,54.5289966
Sklep spożywczo-monopolowy PANDA,convenience,,18.4896401,54.5660539
Biedronka,supermarket,,18.5422766,54.4910864
Euronet,,atm,18.4911233,54.4733424
,,atm,18.5520824,54.4760177
Misiek,supermarket,,18.4395427,54.4970936
Żabka,convenience,,18.5391664,54.5122182
abo,convenience,,18.4885942,54.4716639
Żabka,convenience,,18.540427,54.521217
Żabka,convenience,,18.5397842,54.5126645
Żabka,convenience,,18.4426753,54.5478924
Żabka,convenience,,18.4854218,54.5368134
Netto,supermarket,,18.4998734,54.5639897
Żabka,convenience,,18.5379444,54.4833777
Sklep w garażu,convenience,,18.5221994,54.4786171
Żabka,convenience,,18.5373883,54.5211078
FuX,convenience,,18.5243452,54.5539587
Odido,convenience,,18.5141945,54.5582431
Sezamka,convenience,,18.5507276,54.5063023
Delikatesy Tobi 24h,convenience,,18.5433238,54.4966553
,,,18.5106408,54.4914466
Żabka,convenience,,18.4882025,54.4708514
Żabka,convenience,,18.521534,54.5487545
Żabka,convenience,,18.5365724,54.549638
Żabka,convenience,,18.4905137,54.5891061
Żabka,convenience,,18.5429911,54.5105785
Karpatka s.c,convenience,,18.4956131,54.5635163
Żabka,convenience,,18.5325709,54.5156997
Żabka,convenience,,18.5380474,54.5158523
Żabka,convenience,,18.5411011,54.5175721
,,,18.5236596,54.5491227
,convenience,,18.4773458,54.5404526
Żabka,convenience,,18.4367748,54.4939913
Biedronka,supermarket,,18.4886145,54.5367404
Abo,convenience,,18.5053032,54.5532905
Mini Max,convenience,,18.4851219,54.5365652
Biedronka,supermarket,,18.4786997,54.5407517
u Polaka,convenience,,18.508115,54.550554
Maja,convenience,,18.5023418,54.551839
Żabka,convenience,,18.5009695,54.5519029
Koniczynka,convenience,,18.5044819,54.5566004
Lewiatan,convenience,,18.5288069,54.5200004
Mini Market Arti,convenience,,18.5224233,54.5226204
Żabka,convenience,,18.5030315,54.5290728
Lewiatan,convenience,,18.495864,54.5309699
Marcus,convenience,,18.478048,54.5359304
Odido,convenience,,18.4630614,54.525456
Ania,convenience,,18.4934815,54.5623144
Cynamon II,convenience,,18.4971375,54.5618339
Odido,convenience,,18.497082,54.5618687
Żabka,convenience,,18.5400063,54.50424
Żabka,convenience,,18.4793177,54.5354355
City Market,convenience,,18.5327106,54.5153787
Odido,convenience,,18.5404589,54.5799688
Odido,convenience,,18.4422289,54.5457854
Odido,convenience,,18.4586932,54.5377239
U Stacha,convenience,,18.5275494,54.4868285
Odido,convenience,,18.4884283,54.5620453
Delikatesy Justynka,convenience,,18.4359899,54.4989762
Żabka,convenience,,18.5058934,54.5001489
Pieczywo-Ciastka,convenience,,18.5313363,54.521482
Żabka,convenience,,18.5326633,54.5219313
Carrefour Express,convenience,,18.5323808,54.5207912
Deshi Bazar,convenience,,18.5332147,54.5208889
Żabka,convenience,,18.5353122,54.5207646
Żabka,convenience,,18.5384164,54.5193333
Żabka,convenience,,18.5433361,54.5233736
Żabka,convenience,,18.5514515,54.4941506
,,parking_entrance,18.5327567,54.5038659
,convenience,,18.5541606,54.4500573
Sylwia,convenience,,18.5546656,54.489586
Żabka,convenience,,18.5412164,54.5169784
Żabka,convenience,,18.5406504,54.514589
,convenience,,18.5408583,54.513601
Biedronka,supermarket,,18.4182288,54.5729602
Biedronka,supermarket,,18.5397902,54.5111073
Żabka,convenience,,18.5387857,54.5102737
Lidl,supermarket,,18.5416554,54.516053
Żabka,convenience,,18.5164466,54.5235418
Żabka,convenience,,18.5286006,54.5196504
Auchan,supermarket,,18.5318388,54.502415
,,,18.5325647,54.5031249
,,parking_entrance,18.5322948,54.5046294
,,parking_entrance,18.5322924,54.5047088
,,parking,18.5334348,54.5063579
Biedronka,supermarket,,18.4925578,54.5624859
Delikatesy Kama,convenience,,18.4360428,54.4849771
Żabka,convenience,,18.4591308,54.5405673
Emi,convenience,,18.4589022,54.5405944
13-tka,convenience,,18.537541,54.4838253
Żabka,convenience,,18.5488728,54.5081877
Tobi,convenience,,18.5434965,54.5212534
Żabka,convenience,,18.5450408,54.5218166
Żabka,convenience,,18.4480059,54.536388
Jessi,convenience,,18.4979044,54.4731735
,convenience,,18.5391188,54.5076237
Biedronka,supermarket,,18.5140247,54.5015042
Fresca,convenience,,18.5020358,54.4704683
